Division,District,Market,Crop,Variety,Group,Arrivals (Tonnes),Min Price (BDT/Quintal),Max Price (BDT/Quintal),Price (BDT/Quintal),Reported Date,Quality_Grade,Market_Demand,Stock_Availability,Market_Type,Season
Khulna,Satkhira,Satkhira Market,Mustard,BARI Sarisha-17,Oil Seeds,61.5,3692,4000,3846,10/25/2024,Grade C,High,Medium,Retail,Winter
Rajshahi,Pabna,Pabna Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,6.5,2316,2508,2412,6/28/2024,Grade A,Low,Low,Retail,Winter
Rajshahi,Pabna,Pabna Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,430,2152,2332,2242,4/12/2023,Grade A,Medium,Medium,Retail,Winter
Barishal,Barishal,Nathullabad Market,Mustard,BARI Sarisha-17,Oil Seeds,27,4858,5262,5060,5/28/2022,Grade C,Low,Medium,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,4,1594,1726,1660,7/17/2021,Grade B,Low,High,Retail,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,0.8,8073,8745,8409,8/21/2024,Grade C,Low,Medium,Retail,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,11,7008,7592,7300,5/17/2021,Grade B,Low,Low,Retail,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Mustard,BARI Sarisha-14,Oil Seeds,100,4229,4581,4405,2/9/2024,Grade B,High,High,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,3,5940,6436,6188,7/10/2020,Premium,Medium,High,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-14,Oil Seeds,6,1832,1984,1908,7/27/2020,Grade A,Medium,Medium,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-14,Oil Seeds,5,4974,5388,5181,1/11/2023,Grade B,Medium,High,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-17,Oil Seeds,4,1608,1742,1675,5/8/2020,Grade B,High,Medium,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,34.8,8717,9443,9080,3/14/2024,Grade C,High,High,Retail,Winter
Barishal,Barishal,Nathullabad Market,Mustard,BARI Sarisha-14,Oil Seeds,41.2,3771,4085,3928,3/12/2024,Grade C,Medium,High,Wholesale,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Mustard,BARI Sarisha-14,Oil Seeds,1,1781,1929,1855,3/10/2022,Grade A,Medium,High,Wholesale,Winter
Rajshahi,Pabna,Pabna Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,278,5875,6365,6120,1/29/2022,Grade B,Medium,Low,Retail,Winter
Barishal,Bhola,Bhola Bazar,Mustard,BARI Sarisha-14,Oil Seeds,26.9,4355,4717,4536,6/4/2024,Grade A,Medium,Medium,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Mustard,BARI Sarisha-14,Oil Seeds,6,8323,9017,8670,12/21/2023,Grade B,High,Low,Retail,Winter
Rajshahi,Naogaon,Naogaon Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,220,6160,6674,6417,3/19/2022,Grade C,Low,Medium,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-14,Oil Seeds,1,2569,2783,2676,10/16/2023,Grade A,High,High,Wholesale,Winter
Khulna,Khulna,Khulna New Market,Mustard,BARI Sarisha-17,Oil Seeds,7,6912,7488,7200,8/5/2022,Grade B,High,High,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-17,Oil Seeds,85,5472,5928,5700,2/1/2022,Grade B,High,High,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Mustard,BARI Sarisha-14,Oil Seeds,20,1680,1820,1750,5/8/2020,Grade B,Medium,Low,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,5,4416,4784,4600,9/9/2022,Grade B,High,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Mustard,BARI Sarisha-17,Oil Seeds,12,1450,1570,1510,12/28/2020,Grade B,Low,Medium,Wholesale,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Mustard,BARI Sarisha-14,Oil Seeds,11,6629,7181,6905,2/16/2024,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-14,Oil Seeds,2.2,9158,9922,9540,9/23/2024,Grade B,Medium,Low,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,34,5952,6448,6200,11/24/2021,Grade B,Medium,Low,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,0.4,11040,11960,11500,6/28/2024,Grade B,Medium,Low,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-14,Oil Seeds,13,7680,8320,8000,10/10/2020,Grade B,Medium,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,26,6955,7535,7245,3/8/2023,Grade C,Medium,Medium,Retail,Winter
Khulna,Jashore,Jashore Bazar,Mustard,BARI Sarisha-14,Oil Seeds,46.5,3696,4004,3850,11/26/2024,Grade B,High,Low,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-17,Oil Seeds,600,4800,5200,5000,11/5/2022,Grade B,High,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,2,3011,3261,3136,2/14/2023,Premium,Medium,Medium,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Mustard,BARI Sarisha-17,Oil Seeds,260,6309,6835,6572,2/22/2022,Grade A,Medium,High,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-14,Oil Seeds,168.9,4249,4603,4426,8/28/2024,Grade A,Medium,Low,Wholesale,Winter
Chattogram,Noakhali,Maijdee Bazar,Mustard,BARI Sarisha-14,Oil Seeds,5,2269,2459,2364,1/27/2024,Grade C,Medium,Medium,Retail,Winter
Barishal,Bhola,Bhola Bazar,Mustard,BARI Sarisha-17,Oil Seeds,16,3889,4213,4051,10/12/2023,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,87,9604,10404,10004,6/27/2023,Grade A,Medium,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,10,7634,8270,7952,7/19/2021,Premium,High,Medium,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,16,1832,1984,1908,2/11/2020,Grade A,High,Medium,Wholesale,Winter
Barishal,Barishal,Nathullabad Market,Mustard,BARI Sarisha-14,Oil Seeds,52,4426,4794,4610,5/22/2023,Grade B,Medium,Medium,Retail,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Mustard,BARI Sarisha-17,Oil Seeds,56,4172,4520,4346,6/23/2020,Grade A,Medium,Low,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Mustard,BARI Sarisha-17,Oil Seeds,25,2098,2272,2185,4/22/2022,Grade B,Low,Medium,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,1,5783,6265,6024,7/22/2021,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-17,Oil Seeds,13,6624,7176,6900,2/21/2023,Grade C,Medium,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,"1,554.00",3356,3636,3496,10/12/2020,Grade C,Medium,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-14,Oil Seeds,1,5040,5460,5250,7/7/2020,Grade B,Low,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,30,6213,6731,6472,11/30/2022,Grade C,Medium,Low,Wholesale,Winter
Khulna,Khulna,Khulna New Market,Mustard,BARI Sarisha-14,Oil Seeds,13,5280,5720,5500,4/11/2022,Grade B,High,Medium,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Mustard,BARI Sarisha-17,Oil Seeds,151,4274,4630,4452,2/4/2021,Grade A,High,Medium,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-17,Oil Seeds,9,3665,3971,3818,8/7/2024,Grade C,Medium,High,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,71,2016,2184,2100,3/22/2022,Grade B,Medium,Medium,Retail,Winter
Khulna,Khulna,Khulna New Market,Mustard,BARI Sarisha-14,Oil Seeds,35,10560,11440,11000,4/19/2022,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-17,Oil Seeds,50,4800,5200,5000,11/17/2023,Grade B,Medium,Low,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,42,4118,4462,4290,1/21/2020,Grade C,High,High,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,1,9024,9776,9400,11/24/2023,Grade B,Medium,Medium,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Mustard,BARI Sarisha-17,Oil Seeds,15,1546,1674,1610,5/3/2020,Grade C,Medium,High,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-17,Oil Seeds,5,1501,1627,1564,12/14/2020,Grade A,High,Medium,Retail,Winter
Barishal,Barishal,Nathullabad Market,Mustard,BARI Sarisha-17,Oil Seeds,94,4129,4473,4301,5/15/2023,Grade C,Medium,High,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-14,Oil Seeds,12,2124,2302,2213,8/23/2023,Grade C,Medium,High,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-17,Oil Seeds,15.9,2381,2579,2480,3/11/2024,Grade A,Medium,Low,Retail,Winter
Khulna,Satkhira,Satkhira Market,Mustard,BARI Sarisha-17,Oil Seeds,5,3494,3786,3640,3/14/2020,Premium,Medium,High,Retail,Winter
Khulna,Khulna,Khulna New Market,Mustard,BARI Sarisha-14,Oil Seeds,19,6240,6760,6500,5/10/2022,Grade B,High,Medium,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-17,Oil Seeds,5,2515,2725,2620,12/29/2022,Grade B,Medium,High,Wholesale,Winter
Khulna,Jashore,Jashore Bazar,Mustard,BARI Sarisha-17,Oil Seeds,32,6000,6500,6250,6/27/2022,Grade B,Medium,Low,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Mustard,BARI Sarisha-17,Oil Seeds,19,3745,4057,3901,8/7/2024,Grade C,Medium,High,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-14,Oil Seeds,2,5211,5645,5428,6/17/2022,Grade C,High,Medium,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,34,5358,5804,5581,12/15/2022,Grade A,Medium,Medium,Retail,Winter
Khulna,Jashore,Jashore Bazar,Mustard,BARI Sarisha-17,Oil Seeds,9,3744,4056,3900,11/11/2020,Grade B,Medium,Low,Retail,Winter
Barishal,Barishal,Nathullabad Market,Mustard,BARI Sarisha-17,Oil Seeds,37,6513,7055,6784,5/11/2022,Grade A,High,High,Wholesale,Winter
Chattogram,Noakhali,Maijdee Bazar,Mustard,BARI Sarisha-14,Oil Seeds,18,2296,2488,2392,3/2/2020,Grade C,High,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-17,Oil Seeds,1,1505,1631,1568,10/25/2021,Premium,Low,Medium,Wholesale,Winter
Khulna,Satkhira,Satkhira Market,Mustard,BARI Sarisha-17,Oil Seeds,12,4239,4593,4416,4/23/2023,Grade C,High,High,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Mustard,BARI Sarisha-17,Oil Seeds,7,2480,2686,2583,10/11/2023,Grade A,Low,Medium,Retail,Winter
Rajshahi,Naogaon,Naogaon Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,4,4946,5358,5152,12/1/2020,Grade C,High,Medium,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-14,Oil Seeds,6,3696,4004,3850,1/3/2020,Grade B,Low,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-17,Oil Seeds,50,5316,5760,5538,1/8/2020,Grade A,High,Low,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,0.3,2363,2559,2461,3/13/2024,Grade C,Low,Low,Wholesale,Winter
Rajshahi,Pabna,Pabna Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,85,10325,11185,10755,5/31/2024,Grade C,Medium,High,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Mustard,BARI Sarisha-17,Oil Seeds,14,1590,1722,1656,9/14/2021,Grade C,High,High,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,282,4783,5181,4982,10/25/2021,Grade A,Medium,Low,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-17,Oil Seeds,18,1904,2062,1983,1/15/2020,Grade C,Medium,High,Retail,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,27,4884,5292,5088,9/1/2023,Grade A,Medium,Medium,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,108,1935,2097,2016,6/5/2021,Premium,Low,Medium,Retail,Winter
Khulna,Satkhira,Satkhira Market,Mustard,BARI Sarisha-17,Oil Seeds,22,4672,5062,4867,12/7/2022,Grade C,High,High,Wholesale,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,16,6056,6560,6308,1/25/2022,Grade A,High,Low,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,20.2,2280,2470,2375,3/4/2024,Grade B,Medium,High,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,77,6035,6537,6286,7/5/2022,Grade A,Low,Low,Retail,Winter
Rajshahi,Pabna,Pabna Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,52.5,2544,2756,2650,9/23/2024,Grade B,Medium,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,65,5564,6028,5796,5/22/2021,Grade C,Medium,High,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,1.57,1968,2132,2050,11/7/2024,Grade B,High,Medium,Wholesale,Winter
Khulna,Jashore,Jashore Bazar,Mustard,BARI Sarisha-17,Oil Seeds,2,7680,8320,8000,8/3/2021,Grade B,Low,Medium,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Mustard,BARI Sarisha-17,Oil Seeds,25,4986,5402,5194,9/1/2023,Grade A,High,Medium,Wholesale,Winter
Chattogram,Noakhali,Maijdee Bazar,Mustard,BARI Sarisha-17,Oil Seeds,7,11397,12347,11872,4/13/2024,Grade A,High,High,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-14,Oil Seeds,5,2736,2964,2850,10/7/2023,Grade B,High,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,92,4620,5004,4812,10/7/2022,Grade B,Medium,Low,Wholesale,Winter
Rajshahi,Bogura,Satmatha Market,Mustard,BARI Sarisha-14,Oil Seeds,200,7236,7838,7537,4/4/2022,Grade A,Medium,High,Retail,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,84,8611,9329,8970,6/6/2023,Grade C,Medium,Low,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Mustard,BARI Sarisha-14,Oil Seeds,3,5277,5717,5497,9/7/2020,Grade C,Medium,Medium,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-14,Oil Seeds,10,2391,2591,2491,10/15/2022,Grade A,Low,High,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,7.4,4253,4607,4430,4/13/2024,Grade B,Low,Medium,Wholesale,Winter
Chattogram,Feni,Feni Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,8,7734,8378,8056,8/2/2022,Grade A,Low,High,Retail,Winter
Khulna,Jashore,Jashore Bazar,Mustard,BARI Sarisha-14,Oil Seeds,23,6411,6945,6678,6/10/2022,Grade A,Low,High,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,23,4836,5238,5037,12/11/2023,Grade A,Medium,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Mustard,BARI Sarisha-17,Oil Seeds,1,1728,1872,1800,3/1/2022,Grade B,Low,Medium,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,70,4884,5292,5088,5/12/2023,Grade A,Medium,Medium,Retail,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Mustard,BARI Sarisha-14,Oil Seeds,6,967,1047,1007,8/11/2020,Grade A,Medium,High,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,60,4040,4376,4208,3/28/2024,Grade B,Low,Low,Retail,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,19,5760,6240,6000,3/5/2022,Grade B,High,Low,Wholesale,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,41,5800,6284,6042,5/19/2022,Grade A,Low,Medium,Retail,Winter
Barishal,Bhola,Bhola Bazar,Mustard,BARI Sarisha-17,Oil Seeds,138,5292,5732,5512,10/13/2021,Grade A,Medium,Medium,Retail,Winter
Rajshahi,Pabna,Pabna Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,250,4783,5181,4982,9/20/2023,Grade A,Medium,Low,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-14,Oil Seeds,4.5,2483,2689,2586,10/16/2024,Grade A,Low,High,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-17,Oil Seeds,125,10481,11355,10918,5/9/2024,Grade A,Medium,Medium,Retail,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Mustard,BARI Sarisha-14,Oil Seeds,45,7449,8069,7759,2/11/2023,Grade A,Medium,Low,Retail,Winter
Rajshahi,Bogura,Satmatha Market,Mustard,BARI Sarisha-17,Oil Seeds,14,2456,2660,2558,12/16/2022,Grade C,High,High,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,22,4168,4516,4342,10/14/2022,Grade C,Low,Medium,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Mustard,BARI Sarisha-17,Oil Seeds,50,4690,5080,4885,5/8/2023,Grade B,Low,High,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-14,Oil Seeds,51,5241,5677,5459,6/10/2020,Grade A,Low,Low,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,2,2239,2425,2332,2/23/2024,Grade A,High,High,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,14.6,10023,10859,10441,3/27/2024,Grade A,High,Medium,Wholesale,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Mustard,BARI Sarisha-17,Oil Seeds,9,8446,9150,8798,12/20/2022,Grade A,Low,Medium,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Mustard,BARI Sarisha-14,Oil Seeds,10,1590,1722,1656,12/14/2021,Grade C,Medium,Low,Retail,Winter
Barishal,Barishal,Nathullabad Market,Mustard,BARI Sarisha-17,Oil Seeds,0.3,2544,2756,2650,11/21/2024,Grade A,High,High,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Mustard,BARI Sarisha-17,Oil Seeds,112,6533,7077,6805,5/10/2022,Grade B,Low,High,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Mustard,BARI Sarisha-14,Oil Seeds,3,1745,1891,1818,2/12/2022,Grade A,Medium,Medium,Wholesale,Winter
Khulna,Khulna,Khulna New Market,Mustard,BARI Sarisha-17,Oil Seeds,272,3621,3923,3772,6/6/2020,Grade C,High,Medium,Retail,Winter
Barishal,Bhola,Bhola Bazar,Mustard,BARI Sarisha-14,Oil Seeds,8,1901,2059,1980,12/13/2021,Grade A,Medium,Low,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,4,1867,2023,1945,12/28/2021,Grade A,Low,High,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Mustard,BARI Sarisha-17,Oil Seeds,35,2309,2501,2405,2/24/2024,Grade B,High,High,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,2,4742,5138,4940,12/18/2021,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,25,6028,6530,6279,7/12/2022,Grade C,Low,High,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-17,Oil Seeds,105,4579,4961,4770,10/25/2021,Grade A,High,Low,Retail,Winter
Rajshahi,Pabna,Pabna Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,210,8832,9568,9200,2/7/2024,Grade C,Medium,High,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-17,Oil Seeds,60,4404,4772,4588,11/23/2023,Grade C,Medium,Low,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-14,Oil Seeds,1,2467,2673,2570,2/9/2023,Grade A,Medium,High,Retail,Winter
Barishal,Barishal,Nathullabad Market,Mustard,BARI Sarisha-17,Oil Seeds,38,8650,9370,9010,1/23/2024,Grade A,Low,High,Wholesale,Winter
Barishal,Barishal,Nathullabad Market,Mustard,BARI Sarisha-17,Oil Seeds,64,5021,5439,5230,12/22/2022,Grade B,Medium,High,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Mustard,BARI Sarisha-14,Oil Seeds,4,4992,5408,5200,8/28/2022,Grade B,Medium,High,Retail,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Mustard,BARI Sarisha-17,Oil Seeds,250,4627,5013,4820,9/13/2023,Grade B,Low,High,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-17,Oil Seeds,99,1620,1754,1687,3/17/2021,Grade B,High,Low,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,19,2544,2756,2650,8/2/2024,Grade B,High,Medium,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Mustard,BARI Sarisha-17,Oil Seeds,152,5040,5460,5250,2/18/2020,Grade B,Low,Low,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-14,Oil Seeds,70,4195,4545,4370,6/5/2023,Grade C,Medium,High,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Mustard,BARI Sarisha-14,Oil Seeds,20,3886,4210,4048,1/23/2020,Grade C,Medium,Medium,Wholesale,Winter
Chattogram,Noakhali,Maijdee Bazar,Mustard,BARI Sarisha-14,Oil Seeds,3,1855,2009,1932,10/28/2023,Grade C,Medium,Low,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Mustard,BARI Sarisha-14,Oil Seeds,6,2256,2444,2350,11/3/2020,Grade B,Medium,Medium,Wholesale,Winter
Chattogram,Noakhali,Maijdee Bazar,Mustard,BARI Sarisha-17,Oil Seeds,15,11424,12376,11900,8/14/2024,Premium,High,Low,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Mustard,BARI Sarisha-14,Oil Seeds,25,10191,11041,10616,8/26/2023,Grade A,Medium,Low,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,1,9539,10333,9936,8/27/2023,Grade C,Medium,Medium,Retail,Winter
Rajshahi,Bogura,Satmatha Market,Mustard,BARI Sarisha-17,Oil Seeds,27.5,3118,3378,3248,11/21/2024,Premium,Medium,Low,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Mustard,BARI Sarisha-14,Oil Seeds,6,1425,1543,1484,10/10/2020,Grade A,High,Low,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-14,Oil Seeds,2,912,988,950,8/6/2020,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-14,Oil Seeds,95,2285,2475,2380,3/20/2023,Premium,High,High,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Mustard,BARI Sarisha-14,Oil Seeds,6,1512,1638,1575,12/11/2020,Grade B,High,Medium,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-17,Oil Seeds,1,1653,1791,1722,4/24/2021,Grade A,High,Low,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Mustard,BARI Sarisha-14,Oil Seeds,5,6271,6793,6532,9/3/2022,Grade C,Medium,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Mustard,BARI Sarisha-14,Oil Seeds,12,2290,2480,2385,8/18/2022,Grade A,Low,High,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-17,Oil Seeds,8,9860,10682,10271,6/15/2023,Grade A,High,Low,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Mustard,BARI Sarisha-14,Oil Seeds,50,6289,6813,6551,10/4/2021,Grade A,Medium,Low,Retail,Winter
Barishal,Barishal,Nathullabad Market,Mustard,BARI Sarisha-17,Oil Seeds,47,6451,6989,6720,12/22/2021,Premium,Medium,Medium,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Mustard,BARI Sarisha-17,Oil Seeds,8,1598,1732,1665,9/20/2021,Grade C,Medium,High,Retail,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Mustard,BARI Sarisha-17,Oil Seeds,85,11833,12819,12326,4/22/2024,Premium,Low,Medium,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Mustard,BARI Sarisha-14,Oil Seeds,1,1501,1627,1564,5/22/2020,Grade C,Medium,Low,Retail,Winter
Rajshahi,Pabna,Pabna Sadar Market,Mustard,BARI Sarisha-17,Oil Seeds,140,7468,8090,7779,5/6/2023,Grade C,Medium,Medium,Retail,Winter
