video_category,channel_country,content_language,upload_day,video_length_bucket,traffic_source,device_type,viewer_age_group,subscriber_status,engagement_level
Lifestyle,UK,Bengali,Sunday,5-10 min,Search,Desktop,13-17,Subscribed,Medium
Entertainment,UAE,Hindi,Tuesday,5-10 min,Search,Desktop,13-17,Subscribed,Low
Sports,Australia,Japanese,Thursday,<5 min,Playlists,Mobile,55+,Not Subscribed,High
News,USA,Japanese,Sunday,20-40 min,Suggested,Smart TV,45-54,Not Subscribed,Medium
Technology,USA,Spanish,Wednesday,10-20 min,Suggested,Mobile,13-17,Subscribed,Low
Finance,Japan,French,Sunday,20-40 min,Suggested,Desktop,13-17,Subscribed,Medium
Music,USA,Spanish,Friday,10-20 min,External,Mobile,45-54,Subscribed,Very Low
Travel,UK,Spanish,Saturday,5-10 min,Browse,Mobile,25-34,Subscribed,High
Entertainment,Germany,Arabic,Thursday,<5 min,Shorts Feed,Smart TV,55+,Not Subscribed,Medium
Sports,Australia,Hindi,Friday,>40 min,Shorts Feed,Desktop,25-34,Subscribed,High
News,Japan,German,Friday,20-40 min,Suggested,Smart TV,55+,Subscribed,Medium
Lifestyle,India,Spanish,Tuesday,10-20 min,Notifications,Mobile,45-54,Not Subscribed,High
Entertainment,Japan,French,Saturday,10-20 min,Notifications,Desktop,18-24,Not Subscribed,Low
Technology,Brazil,Bengali,Sunday,<5 min,Shorts Feed,Desktop,13-17,Subscribed,Very Low
Gaming,USA,Hindi,Friday,20-40 min,Notifications,Mobile,18-24,Not Subscribed,Very High
Entertainment,UAE,English,Saturday,<5 min,External,Mobile,35-44,Not Subscribed,Very Low
Technology,UAE,Spanish,Wednesday,<5 min,Notifications,Game Console,45-54,Not Subscribed,Medium
Music,UAE,Urdu,Saturday,<5 min,External,Mobile,18-24,Subscribed,Low
Travel,Australia,French,Tuesday,5-10 min,Notifications,Smart TV,18-24,Subscribed,Very Low
News,Germany,Spanish,Tuesday,<5 min,External,Desktop,35-44,Not Subscribed,Medium
Finance,Australia,German,Tuesday,<5 min,Playlists,Game Console,18-24,Subscribed,Medium
Sports,Germany,Japanese,Sunday,<5 min,Browse,Game Console,45-54,Not Subscribed,Very High
Finance,UAE,Urdu,Monday,10-20 min,External,Mobile,18-24,Subscribed,Medium
Finance,Australia,Arabic,Saturday,10-20 min,Search,Game Console,25-34,Subscribed,High
Travel,Germany,Bengali,Saturday,5-10 min,External,Smart TV,55+,Subscribed,Low
Finance,Pakistan,Portuguese,Tuesday,10-20 min,Suggested,Smart TV,35-44,Not Subscribed,Medium
Music,UK,Urdu,Friday,5-10 min,Search,Smart TV,13-17,Not Subscribed,Medium
Lifestyle,India,Spanish,Sunday,>40 min,Suggested,Mobile,55+,Not Subscribed,Very High
Music,UK,Bengali,Wednesday,<5 min,Search,Tablet,35-44,Subscribed,Very Low
Music,UAE,Urdu,Wednesday,>40 min,External,Desktop,35-44,Subscribed,High
Music,Australia,Spanish,Sunday,>40 min,Playlists,Tablet,55+,Subscribed,Very Low
Entertainment,Australia,Hindi,Wednesday,10-20 min,Notifications,Game Console,13-17,Not Subscribed,Very Low
Technology,Canada,Hindi,Tuesday,>40 min,Shorts Feed,Mobile,13-17,Not Subscribed,Very High
Lifestyle,Canada,Spanish,Monday,<5 min,Suggested,Desktop,13-17,Subscribed,Very Low
News,Germany,Arabic,Saturday,<5 min,Playlists,Tablet,45-54,Subscribed,High
Lifestyle,Australia,Arabic,Thursday,20-40 min,Browse,Mobile,13-17,Subscribed,Very High
News,Germany,Arabic,Friday,<5 min,External,Tablet,25-34,Subscribed,Very Low
Education,Australia,Spanish,Friday,>40 min,External,Smart TV,55+,Not Subscribed,Low
News,Japan,Urdu,Sunday,20-40 min,Playlists,Smart TV,25-34,Not Subscribed,Medium
Gaming,UAE,Portuguese,Saturday,5-10 min,Suggested,Tablet,55+,Subscribed,Very Low
Finance,UK,Portuguese,Sunday,5-10 min,Suggested,Mobile,18-24,Subscribed,Very Low
Sports,India,English,Wednesday,5-10 min,Notifications,Tablet,45-54,Subscribed,Very Low
Sports,Brazil,Arabic,Friday,<5 min,Search,Smart TV,45-54,Not Subscribed,Low
Entertainment,UAE,Bengali,Friday,>40 min,Browse,Game Console,55+,Subscribed,Low
Lifestyle,Canada,Hindi,Saturday,>40 min,Search,Mobile,18-24,Not Subscribed,High
Entertainment,USA,Spanish,Saturday,<5 min,Search,Mobile,25-34,Subscribed,Low
Lifestyle,Pakistan,German,Friday,20-40 min,Suggested,Mobile,13-17,Not Subscribed,Very Low
News,UK,French,Tuesday,>40 min,Suggested,Game Console,55+,Subscribed,Medium
Lifestyle,UK,Portuguese,Sunday,>40 min,Suggested,Game Console,45-54,Subscribed,Very Low
Travel,Australia,Arabic,Saturday,20-40 min,Suggested,Smart TV,35-44,Subscribed,Low
Music,Japan,German,Sunday,>40 min,Notifications,Smart TV,55+,Subscribed,Low
Travel,Australia,Hindi,Friday,10-20 min,Playlists,Mobile,55+,Not Subscribed,Low
Entertainment,Brazil,Hindi,Tuesday,20-40 min,Notifications,Tablet,13-17,Subscribed,Very Low
Technology,UK,Arabic,Sunday,5-10 min,Suggested,Desktop,55+,Subscribed,Very Low
Lifestyle,Japan,German,Wednesday,5-10 min,External,Game Console,55+,Subscribed,Very High
Travel,Pakistan,English,Thursday,20-40 min,External,Smart TV,13-17,Subscribed,High
News,UAE,Spanish,Monday,>40 min,Notifications,Mobile,55+,Not Subscribed,Low
Gaming,UAE,Spanish,Thursday,>40 min,External,Smart TV,13-17,Not Subscribed,Very High
Gaming,Pakistan,Bengali,Thursday,>40 min,Shorts Feed,Game Console,55+,Subscribed,Very High
Sports,Pakistan,Japanese,Tuesday,<5 min,Playlists,Desktop,55+,Not Subscribed,High
News,Australia,Arabic,Thursday,5-10 min,Notifications,Tablet,45-54,Subscribed,Low
News,Brazil,German,Wednesday,>40 min,Notifications,Game Console,45-54,Subscribed,Medium
News,Canada,Bengali,Wednesday,20-40 min,Playlists,Mobile,35-44,Not Subscribed,Low
Finance,UAE,English,Thursday,10-20 min,Playlists,Smart TV,18-24,Not Subscribed,High
Finance,Germany,Hindi,Sunday,20-40 min,Notifications,Game Console,35-44,Not Subscribed,Very Low
Lifestyle,USA,Arabic,Sunday,>40 min,External,Tablet,55+,Not Subscribed,Medium
Lifestyle,Pakistan,Bengali,Sunday,>40 min,Browse,Smart TV,25-34,Subscribed,Very High
Technology,UAE,Arabic,Sunday,10-20 min,Search,Smart TV,35-44,Subscribed,Medium
Travel,Japan,Urdu,Tuesday,20-40 min,Playlists,Game Console,45-54,Subscribed,High
Sports,UAE,Arabic,Monday,10-20 min,Browse,Tablet,13-17,Subscribed,Very High
Entertainment,USA,Urdu,Tuesday,<5 min,Shorts Feed,Mobile,18-24,Not Subscribed,Low
Travel,USA,Portuguese,Thursday,10-20 min,Notifications,Game Console,13-17,Subscribed,Very High
Music,Germany,Arabic,Sunday,10-20 min,Browse,Game Console,13-17,Subscribed,Very Low
Lifestyle,Japan,Bengali,Friday,5-10 min,Shorts Feed,Mobile,25-34,Not Subscribed,Medium
Lifestyle,Japan,German,Friday,>40 min,Playlists,Smart TV,25-34,Subscribed,Very High
News,Australia,German,Monday,5-10 min,External,Tablet,13-17,Subscribed,Very Low
Technology,USA,Urdu,Saturday,20-40 min,Shorts Feed,Smart TV,13-17,Not Subscribed,Low
Education,Pakistan,Portuguese,Wednesday,<5 min,Notifications,Tablet,45-54,Subscribed,High
Lifestyle,Germany,Portuguese,Thursday,>40 min,Search,Game Console,35-44,Subscribed,Very Low
Lifestyle,Brazil,Spanish,Thursday,<5 min,Search,Mobile,55+,Subscribed,High
News,India,English,Tuesday,10-20 min,Browse,Tablet,25-34,Subscribed,Very High
Finance,USA,Portuguese,Thursday,10-20 min,Playlists,Tablet,35-44,Not Subscribed,Medium
Music,Germany,English,Thursday,5-10 min,Shorts Feed,Desktop,13-17,Not Subscribed,Medium
Finance,UAE,Portuguese,Sunday,20-40 min,Suggested,Tablet,35-44,Subscribed,Low
Music,India,Bengali,Monday,10-20 min,Suggested,Desktop,55+,Not Subscribed,High
Education,Germany,Japanese,Wednesday,20-40 min,External,Tablet,45-54,Not Subscribed,Medium
News,UAE,German,Friday,20-40 min,Browse,Desktop,13-17,Subscribed,Very High
Technology,Pakistan,English,Thursday,<5 min,Suggested,Tablet,25-34,Not Subscribed,Low
Gaming,UK,Bengali,Monday,<5 min,Playlists,Desktop,35-44,Subscribed,Low
Gaming,India,Japanese,Tuesday,5-10 min,Playlists,Smart TV,35-44,Subscribed,High
Sports,Japan,Arabic,Saturday,5-10 min,Notifications,Tablet,45-54,Not Subscribed,Medium
Lifestyle,Pakistan,Spanish,Tuesday,>40 min,Playlists,Tablet,18-24,Not Subscribed,Low
News,India,Portuguese,Monday,>40 min,Browse,Smart TV,25-34,Subscribed,High
Gaming,USA,Urdu,Monday,>40 min,Shorts Feed,Mobile,25-34,Not Subscribed,Very High
Gaming,Germany,Japanese,Thursday,10-20 min,Browse,Smart TV,18-24,Not Subscribed,Low
News,UK,French,Thursday,>40 min,Playlists,Tablet,13-17,Not Subscribed,Very Low
News,UAE,French,Saturday,>40 min,External,Desktop,25-34,Not Subscribed,Very High
Technology,USA,Urdu,Tuesday,20-40 min,Notifications,Game Console,13-17,Subscribed,Low
Gaming,Japan,German,Thursday,<5 min,Shorts Feed,Mobile,55+,Subscribed,Low
Lifestyle,UAE,Spanish,Thursday,<5 min,Notifications,Smart TV,45-54,Subscribed,Very High
Gaming,Pakistan,Spanish,Thursday,>40 min,External,Desktop,13-17,Not Subscribed,Very High
Entertainment,UK,Urdu,Saturday,<5 min,Browse,Desktop,13-17,Not Subscribed,Medium
Entertainment,Pakistan,German,Wednesday,5-10 min,External,Game Console,13-17,Subscribed,Very High
Finance,India,Urdu,Thursday,20-40 min,Suggested,Tablet,25-34,Not Subscribed,High
Gaming,Brazil,Japanese,Saturday,20-40 min,Suggested,Game Console,35-44,Subscribed,Medium
Technology,Canada,Portuguese,Tuesday,>40 min,Notifications,Game Console,25-34,Not Subscribed,High
Sports,Pakistan,English,Friday,>40 min,Notifications,Game Console,13-17,Subscribed,Very Low
Education,Japan,Bengali,Friday,10-20 min,External,Desktop,45-54,Subscribed,Very High
Technology,Pakistan,Spanish,Monday,<5 min,Notifications,Game Console,35-44,Not Subscribed,Medium
Music,Germany,Portuguese,Wednesday,>40 min,Shorts Feed,Game Console,25-34,Not Subscribed,Very High
News,Brazil,Spanish,Friday,10-20 min,Shorts Feed,Smart TV,25-34,Not Subscribed,Very High
Music,Japan,Hindi,Sunday,>40 min,Search,Desktop,18-24,Subscribed,High
Finance,Brazil,Arabic,Friday,<5 min,Shorts Feed,Desktop,25-34,Subscribed,Very High
Travel,India,Japanese,Monday,10-20 min,Shorts Feed,Game Console,45-54,Not Subscribed,Medium
News,India,French,Sunday,5-10 min,External,Smart TV,18-24,Not Subscribed,Very High
Gaming,India,Spanish,Saturday,5-10 min,Playlists,Mobile,18-24,Not Subscribed,High
Lifestyle,India,Hindi,Friday,5-10 min,Notifications,Smart TV,45-54,Subscribed,Medium
News,UAE,English,Sunday,<5 min,Playlists,Game Console,55+,Subscribed,Very Low
Travel,Brazil,Bengali,Monday,10-20 min,Browse,Desktop,45-54,Not Subscribed,High
Finance,Canada,German,Sunday,10-20 min,Search,Tablet,55+,Subscribed,High
Education,Pakistan,German,Tuesday,20-40 min,Search,Mobile,13-17,Subscribed,Very High
Gaming,USA,German,Sunday,>40 min,Suggested,Game Console,35-44,Not Subscribed,Low
News,Pakistan,Hindi,Tuesday,20-40 min,Search,Game Console,13-17,Not Subscribed,Very High
Gaming,Japan,Hindi,Monday,10-20 min,Browse,Mobile,18-24,Not Subscribed,Low
Travel,Canada,Portuguese,Monday,10-20 min,Playlists,Game Console,35-44,Subscribed,High
Entertainment,UK,Japanese,Monday,5-10 min,Playlists,Tablet,45-54,Not Subscribed,Very High
Technology,Canada,Urdu,Tuesday,>40 min,Search,Mobile,55+,Not Subscribed,Very High
News,Australia,Hindi,Wednesday,10-20 min,External,Desktop,13-17,Not Subscribed,High
Entertainment,Canada,Bengali,Thursday,>40 min,Suggested,Tablet,25-34,Subscribed,Very Low
Entertainment,Germany,German,Thursday,>40 min,Search,Desktop,45-54,Subscribed,High
Travel,UK,Japanese,Monday,5-10 min,Notifications,Game Console,35-44,Not Subscribed,High
Education,Pakistan,German,Wednesday,5-10 min,Notifications,Mobile,35-44,Not Subscribed,Medium
Gaming,Australia,Hindi,Monday,<5 min,Notifications,Smart TV,25-34,Subscribed,Medium
Lifestyle,Germany,Portuguese,Sunday,10-20 min,Search,Tablet,13-17,Subscribed,Low
Lifestyle,Japan,English,Tuesday,20-40 min,Suggested,Mobile,25-34,Subscribed,High
Entertainment,Canada,Portuguese,Tuesday,>40 min,Shorts Feed,Mobile,25-34,Not Subscribed,Medium
Travel,India,Arabic,Sunday,>40 min,Suggested,Game Console,25-34,Subscribed,Very Low
Finance,Australia,Bengali,Sunday,<5 min,External,Smart TV,35-44,Not Subscribed,Very High
Education,UAE,Spanish,Tuesday,>40 min,Notifications,Tablet,45-54,Not Subscribed,Medium
News,Pakistan,Hindi,Sunday,5-10 min,Shorts Feed,Tablet,45-54,Not Subscribed,Low
Travel,India,Japanese,Wednesday,5-10 min,Search,Smart TV,45-54,Subscribed,Very Low
Entertainment,Germany,English,Tuesday,10-20 min,Suggested,Game Console,45-54,Subscribed,Very High
Travel,Canada,Arabic,Thursday,20-40 min,Playlists,Tablet,45-54,Subscribed,Low
Technology,Australia,French,Sunday,20-40 min,External,Mobile,25-34,Subscribed,Low
Education,UAE,English,Friday,<5 min,Browse,Desktop,45-54,Not Subscribed,Very Low
Music,Japan,Spanish,Thursday,5-10 min,Browse,Tablet,18-24,Subscribed,Medium
Gaming,UK,German,Monday,>40 min,Search,Tablet,35-44,Not Subscribed,Low
Education,Germany,French,Monday,<5 min,Search,Smart TV,55+,Not Subscribed,Very Low
Finance,Canada,Spanish,Wednesday,10-20 min,Shorts Feed,Desktop,45-54,Subscribed,Very Low
Finance,Brazil,Bengali,Wednesday,<5 min,Playlists,Desktop,18-24,Not Subscribed,Very High
Travel,USA,Bengali,Saturday,>40 min,External,Desktop,55+,Not Subscribed,Medium
Finance,Australia,German,Tuesday,5-10 min,Browse,Mobile,35-44,Not Subscribed,Low
Music,Germany,English,Wednesday,5-10 min,Suggested,Smart TV,13-17,Subscribed,Very High
Finance,USA,English,Tuesday,10-20 min,External,Game Console,35-44,Subscribed,High
Technology,USA,Japanese,Monday,5-10 min,Notifications,Smart TV,35-44,Subscribed,Very Low
Music,USA,English,Friday,10-20 min,Shorts Feed,Desktop,35-44,Not Subscribed,Low
Gaming,UAE,Urdu,Tuesday,20-40 min,Notifications,Game Console,13-17,Subscribed,Medium
Travel,Brazil,Bengali,Wednesday,<5 min,Search,Mobile,35-44,Subscribed,Low
News,UAE,English,Monday,20-40 min,Suggested,Game Console,35-44,Subscribed,Low
Education,Brazil,Spanish,Tuesday,<5 min,Search,Desktop,45-54,Not Subscribed,Very High
Education,Japan,Japanese,Monday,20-40 min,External,Desktop,18-24,Subscribed,Very Low
Sports,Pakistan,French,Saturday,20-40 min,Shorts Feed,Mobile,35-44,Subscribed,Very High
Music,Japan,Hindi,Thursday,<5 min,External,Tablet,25-34,Subscribed,High
Education,UK,German,Sunday,10-20 min,Browse,Desktop,18-24,Not Subscribed,Low
Gaming,Australia,English,Tuesday,10-20 min,Suggested,Desktop,45-54,Not Subscribed,Very Low
Music,USA,Bengali,Wednesday,10-20 min,Playlists,Smart TV,35-44,Subscribed,High
Finance,USA,German,Saturday,5-10 min,External,Tablet,25-34,Subscribed,Low
Music,Brazil,Portuguese,Monday,20-40 min,Notifications,Tablet,55+,Subscribed,Low
Sports,Pakistan,Urdu,Friday,>40 min,Browse,Mobile,35-44,Subscribed,Low
Gaming,India,Bengali,Saturday,<5 min,Browse,Game Console,45-54,Subscribed,Low
Entertainment,Japan,Portuguese,Sunday,10-20 min,Playlists,Game Console,45-54,Not Subscribed,Medium
Travel,Japan,Portuguese,Sunday,>40 min,Playlists,Smart TV,18-24,Subscribed,High
Entertainment,USA,English,Friday,>40 min,Browse,Tablet,35-44,Not Subscribed,Very Low
Lifestyle,Canada,Japanese,Sunday,>40 min,Search,Game Console,13-17,Subscribed,High
Sports,UAE,Bengali,Tuesday,<5 min,External,Tablet,13-17,Subscribed,High
Finance,Japan,German,Thursday,>40 min,Playlists,Desktop,18-24,Not Subscribed,Low
Sports,Japan,French,Friday,20-40 min,Browse,Smart TV,13-17,Subscribed,Very Low
Technology,UAE,Arabic,Thursday,10-20 min,Browse,Smart TV,18-24,Subscribed,Very Low
Music,India,Spanish,Tuesday,20-40 min,Playlists,Desktop,13-17,Not Subscribed,Medium
Education,Canada,German,Monday,<5 min,Search,Mobile,45-54,Not Subscribed,Low
Sports,Australia,Japanese,Tuesday,>40 min,Search,Game Console,13-17,Subscribed,Very High
Lifestyle,UAE,Bengali,Monday,<5 min,Browse,Mobile,35-44,Subscribed,Very Low
Finance,India,Portuguese,Friday,5-10 min,Shorts Feed,Desktop,18-24,Not Subscribed,Low
Travel,UAE,Arabic,Sunday,>40 min,Playlists,Smart TV,55+,Subscribed,High
Education,Japan,Urdu,Wednesday,>40 min,Shorts Feed,Mobile,45-54,Not Subscribed,High
Sports,Australia,German,Monday,<5 min,Search,Game Console,45-54,Not Subscribed,Low
Technology,Australia,Hindi,Monday,5-10 min,External,Mobile,13-17,Subscribed,Medium
Gaming,UAE,Arabic,Saturday,10-20 min,Playlists,Tablet,25-34,Subscribed,Very High
Sports,UK,English,Tuesday,10-20 min,Shorts Feed,Mobile,13-17,Not Subscribed,Low
News,Canada,French,Thursday,20-40 min,Search,Smart TV,25-34,Not Subscribed,Very High
Finance,UAE,French,Wednesday,>40 min,Playlists,Tablet,35-44,Not Subscribed,High
Music,USA,Hindi,Monday,>40 min,Suggested,Tablet,55+,Subscribed,Low
Lifestyle,India,Arabic,Tuesday,5-10 min,Playlists,Desktop,45-54,Not Subscribed,Very High
Sports,USA,Spanish,Thursday,5-10 min,Search,Game Console,25-34,Subscribed,High
Sports,Pakistan,Spanish,Thursday,5-10 min,Shorts Feed,Tablet,55+,Subscribed,High
Sports,UK,German,Wednesday,20-40 min,Search,Mobile,25-34,Subscribed,Low
Finance,India,Arabic,Tuesday,>40 min,Playlists,Tablet,13-17,Subscribed,High
Gaming,UK,Urdu,Wednesday,>40 min,Search,Tablet,55+,Not Subscribed,Very Low
Education,USA,Japanese,Friday,5-10 min,Suggested,Mobile,25-34,Not Subscribed,High
Education,USA,Hindi,Tuesday,>40 min,Suggested,Game Console,18-24,Not Subscribed,Very Low
Education,India,Spanish,Tuesday,5-10 min,Notifications,Smart TV,13-17,Not Subscribed,Very Low
Music,USA,French,Friday,10-20 min,Search,Smart TV,55+,Not Subscribed,High
News,Canada,French,Wednesday,20-40 min,Playlists,Mobile,25-34,Subscribed,Low
Travel,Australia,German,Sunday,10-20 min,External,Mobile,13-17,Subscribed,Medium
Technology,USA,Urdu,Thursday,5-10 min,Playlists,Tablet,35-44,Subscribed,Medium
Technology,Pakistan,Arabic,Thursday,<5 min,External,Smart TV,45-54,Subscribed,Low
News,India,Spanish,Sunday,20-40 min,Playlists,Desktop,35-44,Not Subscribed,Very Low
Lifestyle,Australia,Portuguese,Saturday,20-40 min,Browse,Smart TV,18-24,Subscribed,Medium
Gaming,UAE,Japanese,Thursday,>40 min,External,Game Console,25-34,Not Subscribed,High
Travel,India,Spanish,Friday,<5 min,Playlists,Desktop,25-34,Subscribed,Very Low
Entertainment,India,Arabic,Wednesday,>40 min,Notifications,Smart TV,25-34,Subscribed,Low
Technology,Pakistan,French,Sunday,5-10 min,Browse,Mobile,25-34,Not Subscribed,High
Lifestyle,UK,Hindi,Tuesday,<5 min,Browse,Smart TV,25-34,Not Subscribed,Low
News,Germany,Bengali,Sunday,5-10 min,Search,Smart TV,55+,Not Subscribed,Medium
Gaming,India,Hindi,Saturday,>40 min,External,Desktop,45-54,Subscribed,Very High
Music,Brazil,German,Monday,20-40 min,Suggested,Tablet,18-24,Not Subscribed,Very High
Sports,Japan,Arabic,Sunday,5-10 min,Playlists,Mobile,45-54,Not Subscribed,Very High
Entertainment,Japan,English,Thursday,20-40 min,Browse,Mobile,25-34,Subscribed,Very Low
Education,UK,Hindi,Tuesday,10-20 min,Browse,Desktop,55+,Not Subscribed,Very Low
Music,Canada,English,Monday,20-40 min,Search,Tablet,45-54,Not Subscribed,Very Low
Technology,Brazil,Spanish,Monday,>40 min,External,Mobile,13-17,Subscribed,Low
Education,Canada,Hindi,Friday,20-40 min,Notifications,Game Console,45-54,Subscribed,Very Low
Gaming,Germany,English,Monday,5-10 min,Browse,Smart TV,13-17,Subscribed,Very Low
Travel,India,Bengali,Sunday,20-40 min,Shorts Feed,Game Console,35-44,Subscribed,Very Low
Entertainment,UK,Urdu,Saturday,>40 min,Shorts Feed,Mobile,55+,Not Subscribed,Very Low
Finance,Germany,Japanese,Sunday,>40 min,Browse,Tablet,13-17,Subscribed,Very Low
Technology,Brazil,Urdu,Tuesday,10-20 min,Notifications,Desktop,55+,Subscribed,Very Low
Travel,UK,Arabic,Friday,20-40 min,Notifications,Mobile,35-44,Subscribed,High
Finance,USA,German,Thursday,<5 min,External,Mobile,35-44,Subscribed,Very High
Lifestyle,India,Bengali,Thursday,5-10 min,Suggested,Desktop,55+,Not Subscribed,Medium
Travel,Brazil,Hindi,Friday,5-10 min,External,Tablet,18-24,Subscribed,High
Entertainment,Japan,Hindi,Monday,5-10 min,Shorts Feed,Tablet,45-54,Subscribed,Very High
News,Pakistan,Japanese,Sunday,>40 min,Search,Mobile,18-24,Not Subscribed,Medium
Technology,UK,German,Thursday,5-10 min,Suggested,Mobile,35-44,Subscribed,High
Finance,Australia,Arabic,Wednesday,20-40 min,Browse,Smart TV,55+,Not Subscribed,Very Low
Entertainment,Brazil,Urdu,Monday,20-40 min,Notifications,Mobile,18-24,Not Subscribed,Low
Gaming,Pakistan,English,Saturday,<5 min,Shorts Feed,Smart TV,25-34,Subscribed,High
Gaming,USA,Japanese,Monday,5-10 min,Suggested,Tablet,13-17,Not Subscribed,Low
Sports,Canada,Hindi,Friday,>40 min,Shorts Feed,Desktop,45-54,Subscribed,Medium
Lifestyle,Germany,Arabic,Monday,5-10 min,Search,Mobile,25-34,Subscribed,High
Finance,India,English,Wednesday,5-10 min,Search,Desktop,13-17,Not Subscribed,Very Low
Entertainment,Brazil,Urdu,Sunday,>40 min,External,Tablet,35-44,Subscribed,Low
Finance,Pakistan,German,Wednesday,>40 min,Search,Mobile,13-17,Not Subscribed,Very Low
Gaming,Germany,Japanese,Thursday,10-20 min,Shorts Feed,Desktop,35-44,Not Subscribed,Very Low
News,Brazil,German,Friday,10-20 min,Browse,Mobile,18-24,Subscribed,High
Travel,Pakistan,Hindi,Tuesday,5-10 min,Notifications,Tablet,45-54,Not Subscribed,Very High
Gaming,Pakistan,Urdu,Wednesday,5-10 min,External,Mobile,55+,Not Subscribed,Low
Technology,Australia,English,Tuesday,10-20 min,Shorts Feed,Tablet,35-44,Not Subscribed,Medium
Entertainment,Brazil,Japanese,Tuesday,<5 min,Browse,Mobile,35-44,Subscribed,Very Low
Travel,Canada,English,Sunday,>40 min,External,Mobile,25-34,Not Subscribed,Medium
Travel,Japan,German,Thursday,<5 min,Suggested,Mobile,35-44,Not Subscribed,Medium
Technology,Japan,English,Sunday,5-10 min,External,Tablet,13-17,Not Subscribed,Very High
News,Brazil,Spanish,Thursday,<5 min,Suggested,Game Console,18-24,Not Subscribed,Medium
Entertainment,Japan,Portuguese,Tuesday,20-40 min,Suggested,Game Console,45-54,Not Subscribed,Very Low
Travel,Australia,Portuguese,Wednesday,5-10 min,Search,Smart TV,55+,Not Subscribed,Low
Music,Brazil,Hindi,Sunday,5-10 min,Browse,Desktop,55+,Not Subscribed,High
Entertainment,UK,Urdu,Friday,5-10 min,Suggested,Game Console,35-44,Not Subscribed,Very High
Education,Australia,English,Sunday,10-20 min,Notifications,Game Console,35-44,Subscribed,Low
Education,Pakistan,Urdu,Sunday,5-10 min,Browse,Mobile,25-34,Subscribed,Very High
Finance,UK,Japanese,Tuesday,>40 min,External,Mobile,25-34,Not Subscribed,High
Sports,USA,Urdu,Tuesday,10-20 min,External,Smart TV,13-17,Not Subscribed,Very High
Finance,Brazil,Japanese,Saturday,10-20 min,Browse,Tablet,18-24,Not Subscribed,Very Low
Finance,USA,German,Sunday,>40 min,Browse,Desktop,18-24,Not Subscribed,Low
Entertainment,UK,Japanese,Saturday,5-10 min,Suggested,Mobile,55+,Subscribed,Low
Music,Brazil,Hindi,Monday,<5 min,Shorts Feed,Smart TV,25-34,Not Subscribed,High
Finance,India,Japanese,Monday,20-40 min,Suggested,Mobile,25-34,Subscribed,Very High
Lifestyle,Pakistan,Hindi,Wednesday,10-20 min,Shorts Feed,Game Console,35-44,Subscribed,Very Low
News,UK,Hindi,Sunday,20-40 min,Notifications,Mobile,18-24,Subscribed,Low
Education,UK,Portuguese,Friday,>40 min,Search,Mobile,25-34,Subscribed,High
Sports,Brazil,Hindi,Monday,20-40 min,Notifications,Mobile,13-17,Not Subscribed,High
Education,Canada,Hindi,Thursday,5-10 min,External,Mobile,25-34,Subscribed,Very Low
Sports,UAE,German,Tuesday,5-10 min,External,Smart TV,18-24,Not Subscribed,Medium
Entertainment,UAE,German,Sunday,<5 min,Shorts Feed,Smart TV,18-24,Not Subscribed,High
Entertainment,Canada,Arabic,Monday,>40 min,Suggested,Game Console,13-17,Not Subscribed,Medium
Sports,USA,Spanish,Wednesday,>40 min,Playlists,Game Console,45-54,Not Subscribed,Very Low
Finance,Canada,Bengali,Tuesday,5-10 min,External,Desktop,35-44,Subscribed,Very High
Gaming,UK,Bengali,Monday,20-40 min,Suggested,Tablet,55+,Subscribed,Medium
Finance,Australia,English,Tuesday,20-40 min,Playlists,Smart TV,35-44,Not Subscribed,Medium
Music,Brazil,Spanish,Friday,10-20 min,Browse,Desktop,45-54,Not Subscribed,Medium
Finance,UAE,Urdu,Monday,20-40 min,Playlists,Mobile,45-54,Not Subscribed,Medium
Education,Australia,Japanese,Wednesday,20-40 min,Shorts Feed,Mobile,18-24,Subscribed,Very High
Education,India,Bengali,Sunday,5-10 min,Notifications,Mobile,18-24,Subscribed,Very Low
News,Germany,German,Friday,<5 min,Browse,Tablet,45-54,Subscribed,Very High
Technology,UK,Spanish,Wednesday,5-10 min,Suggested,Desktop,18-24,Subscribed,Low
Technology,Pakistan,Hindi,Monday,5-10 min,Shorts Feed,Tablet,55+,Not Subscribed,Medium
Education,India,Bengali,Saturday,5-10 min,Browse,Tablet,25-34,Subscribed,Low
Entertainment,UAE,Arabic,Sunday,>40 min,Shorts Feed,Game Console,25-34,Subscribed,Very High
Technology,Canada,German,Tuesday,10-20 min,Shorts Feed,Desktop,35-44,Subscribed,Very High
Entertainment,UK,English,Sunday,>40 min,Search,Tablet,45-54,Subscribed,Very Low
Music,Germany,French,Monday,5-10 min,Notifications,Mobile,35-44,Not Subscribed,Very High
Entertainment,Pakistan,Bengali,Friday,>40 min,Suggested,Mobile,13-17,Subscribed,Low
Travel,Australia,German,Monday,20-40 min,External,Tablet,45-54,Not Subscribed,Medium
Music,India,English,Thursday,5-10 min,Notifications,Tablet,55+,Subscribed,Very High
Technology,Brazil,Urdu,Friday,<5 min,Notifications,Desktop,18-24,Not Subscribed,High
Gaming,Canada,Hindi,Thursday,10-20 min,Suggested,Smart TV,18-24,Not Subscribed,Medium
Travel,Pakistan,Spanish,Saturday,>40 min,Playlists,Smart TV,25-34,Not Subscribed,Very Low
