learner_id,fsi_category,related_language,prior_languages,age_started,total_study_hours,active_use_share,immersion_months,speaking_practice,feedback_quality,comprehensible_input_hours,uses_srs,motivation,consistency,accent_nativelike,cefr_level,reached_fluency,dropped_out
LNR024266,2,0,0,45,480,0.682,1.3,3.98,2.06,260,0,6.27,5.75,5.83,B2,1,0
LNR024267,1,0,1,50,590,0.307,0.0,6.32,2.44,190,0,3.73,2.35,2.19,B2,1,0
LNR024268,2,1,0,12,1030,0.686,0.0,10.0,6.17,600,1,4.45,9.18,7.49,C2,1,0
LNR024269,2,0,0,8,240,0.813,0.0,4.06,4.16,130,0,3.27,6.22,3.97,A2,0,1
LNR024270,1,1,0,16,280,0.497,0.3,4.13,5.76,170,1,6.21,4.27,7.87,A2,0,0
LNR024271,3,0,0,11,300,0.51,0.7,4.12,8.09,200,0,5.33,4.3,8.47,A2,0,1
LNR024272,2,0,1,18,130,0.583,0.0,4.95,4.67,80,0,4.76,5.65,4.82,A2,0,0
LNR024273,4,1,2,30,940,0.687,0.0,7.04,7.85,450,0,8.34,9.01,3.89,C1,1,0
LNR024274,1,1,1,22,620,0.33,0.0,8.12,6.12,370,0,5.4,3.52,6.45,B2,1,0
LNR024275,4,0,0,26,100,0.316,0.0,3.75,2.5,70,0,7.81,4.92,3.73,A0,0,0
LNR024276,1,1,0,27,570,0.329,0.0,6.61,2.75,400,1,5.96,5.03,7.97,B2,1,0
LNR024277,1,0,0,19,380,0.35,0.0,6.33,2.83,180,1,7.35,6.55,7.87,B1,0,1
LNR024278,3,0,0,30,710,0.4,2.8,6.45,5.27,260,0,4.66,3.33,5.83,A2,0,1
LNR024279,1,0,1,22,570,0.339,0.0,5.84,6.72,210,1,1.89,4.32,6.47,B2,1,0
LNR024280,1,0,1,18,300,0.294,0.0,10.0,3.67,90,1,3.53,10.0,6.28,A2,0,1
LNR024281,1,0,0,33,130,0.56,0.0,8.74,5.71,60,0,4.06,9.01,3.61,A2,0,0
LNR024282,3,0,0,9,950,0.687,0.0,5.02,6.41,380,0,2.79,4.75,8.07,C1,1,0
LNR024283,3,1,0,52,730,0.163,1.1,3.39,2.41,360,0,8.92,8.06,3.38,A2,0,1
LNR024284,1,0,0,43,220,0.103,0.0,4.49,5.97,150,0,4.15,8.14,6.96,A1,0,1
LNR024285,3,0,1,28,260,0.17,3.0,4.67,5.84,80,1,7.21,7.0,5.45,A1,0,0
LNR024286,3,1,2,40,250,0.34,0.0,3.86,7.13,110,1,4.33,5.59,2.57,A1,0,1
LNR024287,3,1,0,15,460,0.548,0.0,10.0,6.13,210,0,1.7,7.31,8.12,B1,0,1
LNR024288,3,0,2,47,620,0.377,1.2,2.82,6.24,280,1,2.8,6.1,3.55,B1,0,0
LNR024289,2,1,1,27,100,0.222,0.6,4.04,6.45,60,1,3.51,4.99,6.17,A0,0,1
LNR024290,1,0,0,41,770,0.762,0.0,7.72,5.56,250,0,5.64,6.41,2.22,C2,1,0
LNR024291,1,0,1,34,600,0.301,1.6,1.67,1.22,320,1,6.84,7.6,5.88,B2,1,0
LNR024292,2,0,0,25,120,0.481,0.0,5.46,7.48,90,1,4.17,6.18,5.06,A1,0,0
LNR024293,3,0,1,16,620,0.52,0.0,0.85,8.85,480,0,6.58,3.59,8.07,B1,0,0
LNR024294,2,0,0,22,610,0.474,0.0,6.58,5.55,430,0,4.45,7.45,6.21,C1,1,0
LNR024295,4,1,2,26,300,0.464,0.0,4.44,2.5,190,0,4.01,5.16,4.44,A1,0,1
LNR024296,1,0,3,23,630,0.483,8.3,10.0,4.46,380,0,1.64,6.93,5.33,C2,1,0
LNR024297,2,1,0,36,760,0.385,0.0,8.6,2.75,280,0,5.35,7.43,4.8,B1,0,1
LNR024298,1,0,1,44,210,0.113,0.0,6.2,3.87,100,1,5.33,4.49,8.16,A1,0,1
LNR024299,3,0,0,44,510,0.192,0.0,3.52,8.71,330,0,4.55,5.76,3.67,A1,0,0
LNR024300,1,1,1,24,470,0.528,4.1,4.19,10.0,280,1,5.3,4.92,6.39,C2,1,0
LNR024301,3,0,0,27,1150,0.159,12.2,6.59,7.07,630,1,8.47,10.0,6.49,B2,1,0
LNR024302,3,0,0,18,1320,0.509,0.0,8.16,4.09,700,1,3.15,5.49,10.0,B2,1,0
LNR024303,3,0,1,25,380,0.478,1.6,8.39,4.71,240,0,6.99,6.34,6.89,A2,0,1
LNR024304,1,0,0,46,320,0.58,0.0,7.95,7.13,180,1,3.75,9.03,1.96,B1,0,1
LNR024305,1,0,1,26,570,0.45,0.0,7.12,5.11,410,1,2.83,4.96,4.24,C1,1,0
LNR024306,3,1,0,12,800,0.254,0.0,0.74,0.74,440,0,9.11,6.71,6.61,A2,0,0
LNR024307,3,0,2,31,880,0.347,0.0,7.14,2.16,530,0,2.56,3.9,6.38,B1,0,1
LNR024308,3,1,0,29,370,0.47,3.3,7.72,3.03,110,0,2.87,2.5,7.69,B1,0,0
LNR024309,4,0,0,23,920,0.477,3.8,9.55,3.25,590,0,8.29,5.4,5.22,B2,1,0
LNR024310,3,0,2,33,60,0.84,7.0,10.0,4.31,40,0,3.81,3.7,5.6,A1,0,0
LNR024311,1,0,1,25,290,0.375,0.8,9.12,5.17,200,0,7.97,8.47,8.5,B1,0,0
LNR024312,3,0,0,30,300,0.282,4.2,5.64,3.6,160,1,6.26,7.19,5.35,A2,0,0
LNR024313,4,0,1,26,230,0.249,0.0,9.49,4.19,120,1,5.4,8.33,6.69,A0,0,1
LNR024314,1,0,1,18,750,0.036,5.3,3.92,3.01,460,1,2.2,1.67,7.66,B1,0,1
LNR024315,1,0,2,24,420,0.214,0.0,7.19,5.94,140,0,3.07,10.0,6.99,A2,0,1
LNR024316,1,0,2,21,330,0.194,0.0,4.83,4.13,250,0,6.95,5.85,7.73,A2,0,1
LNR024317,4,0,0,35,350,0.389,1.3,3.53,5.53,150,1,0.0,4.05,4.62,A2,0,1
LNR024318,4,0,1,34,590,0.778,0.0,10.0,2.92,360,1,3.75,5.32,2.66,A2,0,1
LNR024319,1,0,1,32,550,0.813,2.6,8.03,8.66,350,0,6.15,8.39,4.98,C1,1,0
LNR024320,2,0,1,14,160,0.507,0.0,6.79,7.44,120,0,6.85,5.35,7.42,A1,0,1
LNR024321,3,0,0,32,290,0.52,0.0,4.34,5.49,190,0,3.3,4.63,7.48,A2,0,1
LNR024322,1,0,2,38,860,0.385,2.2,6.18,5.51,460,1,4.48,5.16,4.29,C1,1,0
LNR024323,1,0,0,6,1500,0.173,0.0,6.43,5.11,780,1,8.65,5.95,8.19,C1,1,0
LNR024324,2,0,1,36,1680,0.521,1.7,7.61,6.04,620,1,4.47,5.15,4.34,C2,1,0
LNR024325,1,1,0,36,1030,0.368,3.1,3.38,6.22,410,1,1.15,5.02,3.97,C2,1,0
LNR024326,2,1,0,25,780,0.856,0.0,8.76,6.14,530,0,7.36,7.33,5.19,C1,1,0
LNR024327,1,1,0,11,470,0.382,0.0,3.76,4.5,360,0,5.92,6.07,7.28,C1,1,0
LNR024328,4,0,0,19,590,0.168,0.0,5.87,1.4,290,0,4.91,4.63,7.78,A1,0,1
LNR024329,3,0,0,32,530,0.187,6.0,6.14,6.56,350,0,3.62,9.39,5.94,A2,0,0
LNR024330,1,1,0,30,430,0.093,6.6,4.48,4.31,200,0,1.25,6.59,5.79,B2,1,0
LNR024331,2,0,2,22,140,0.51,0.4,6.53,5.29,80,0,6.5,8.56,3.81,A0,0,0
LNR024332,1,0,2,33,990,0.385,0.0,7.12,6.69,460,0,5.85,4.24,6.06,C2,1,0
LNR024333,4,0,0,9,710,0.239,0.0,5.27,5.87,510,1,5.87,7.98,8.47,A1,0,1
LNR024334,1,0,0,32,640,0.326,2.3,3.07,2.99,280,0,9.78,7.87,5.57,B1,0,0
LNR024335,3,0,3,28,230,0.1,2.0,2.07,1.57,110,0,6.58,8.08,5.23,A1,0,0
LNR024336,4,0,2,25,870,0.322,0.0,8.7,4.76,500,0,4.09,6.76,4.81,A2,0,1
LNR024337,4,0,1,27,270,0.643,0.1,2.36,3.18,210,1,8.0,3.35,4.88,A1,0,1
LNR024338,3,0,1,36,70,0.11,0.4,2.86,6.26,40,0,4.34,7.5,5.46,A0,0,1
LNR024339,1,1,0,16,200,0.789,2.8,6.31,2.57,110,0,2.73,6.9,7.94,B2,1,0
LNR024340,2,0,0,28,1320,0.182,0.2,5.97,6.37,570,1,7.5,6.57,5.83,B1,0,0
LNR024341,4,0,1,31,500,0.233,0.0,6.67,3.33,200,0,5.91,4.98,3.84,A0,0,0
LNR024342,4,0,1,35,330,0.575,0.0,5.38,6.99,200,0,9.66,6.61,7.58,A1,0,1
LNR024343,3,0,0,31,1090,0.446,0.0,5.82,7.06,540,1,7.38,6.72,6.53,C1,1,0
LNR024344,3,0,1,38,590,0.741,0.0,10.0,1.84,320,0,2.03,5.05,4.74,A2,0,0
LNR024345,3,0,2,24,230,0.232,0.0,8.34,3.51,80,0,3.74,5.83,6.83,A1,0,1
LNR024346,2,0,1,35,250,0.288,3.5,7.08,6.13,180,1,4.54,4.4,4.02,A2,0,0
LNR024347,4,1,1,33,390,0.185,0.0,4.27,1.67,220,0,2.45,3.38,5.08,A1,0,1
LNR024348,4,1,0,20,30,0.591,0.0,5.94,4.25,20,0,6.13,7.98,8.61,A0,0,0
LNR024349,1,1,0,45,580,0.424,1.1,7.19,1.98,450,0,4.19,6.14,3.65,B2,1,0
LNR024350,3,0,0,43,840,0.615,0.4,3.78,8.04,340,1,7.07,6.73,2.84,B2,1,0
LNR024351,2,1,0,31,250,0.184,0.0,7.08,3.3,90,0,6.22,8.86,6.2,A2,0,0
LNR024352,1,1,3,17,70,0.308,2.5,3.78,6.21,50,0,3.96,4.11,9.0,A1,0,0
LNR024353,2,0,4,39,1460,0.67,0.0,8.87,7.2,550,1,7.01,6.77,4.45,C2,1,0
LNR024354,1,1,0,26,330,0.475,0.0,5.91,2.41,230,1,5.8,3.9,6.84,A2,0,1
LNR024355,1,1,1,20,360,0.577,0.0,10.0,8.66,110,0,5.57,10.0,4.11,C2,1,0
LNR024356,4,0,1,19,220,0.539,0.0,5.59,6.37,150,0,8.99,8.74,8.81,A1,0,0
LNR024357,4,0,0,17,370,0.356,3.3,6.83,2.68,160,1,5.22,10.0,5.29,A2,0,0
LNR024358,3,0,0,34,1300,0.524,0.0,10.0,6.99,520,0,7.21,7.26,5.87,C1,1,0
LNR024359,1,0,1,25,1360,0.374,2.0,5.13,5.53,670,0,5.54,8.61,3.89,C2,1,0
LNR024360,2,0,2,16,1120,0.249,0.0,4.92,4.19,410,0,7.45,9.27,6.8,B1,0,0
LNR024361,1,0,2,40,370,0.646,0.7,7.91,4.07,220,0,3.64,4.79,4.27,B2,1,0
LNR024362,3,1,1,42,110,0.191,3.4,5.95,9.72,50,0,6.87,9.75,0.46,A1,0,1
LNR024363,1,0,2,21,860,0.553,0.0,7.76,3.65,370,0,5.93,6.35,7.03,C1,1,0
LNR024364,1,0,1,16,1990,0.266,0.0,8.34,7.11,1520,1,3.46,2.0,5.73,C2,1,0
LNR024365,4,0,1,31,370,0.158,0.0,3.8,2.44,130,1,5.55,10.0,4.55,A0,0,0
LNR024366,2,0,0,29,1280,0.612,0.0,5.53,0.9,610,1,7.79,5.09,3.59,C2,1,0
LNR024367,1,0,1,55,180,0.619,0.0,5.6,4.99,60,0,2.64,8.05,3.52,A1,0,0
LNR024368,1,0,1,25,430,0.25,0.0,4.85,7.37,240,0,10.0,7.97,4.86,B2,1,0
LNR024369,3,0,2,30,240,0.394,0.7,2.59,7.49,170,1,3.39,5.14,5.28,A1,0,1
LNR024370,1,0,0,46,210,0.619,0.0,4.17,5.61,80,1,7.8,4.66,3.64,B2,1,0
LNR024371,4,0,0,15,500,0.635,1.0,2.83,6.28,330,1,6.17,5.4,6.76,A2,0,1
LNR024372,3,0,1,38,100,0.225,2.0,5.13,2.11,40,0,1.23,9.27,3.46,A0,0,1
LNR024373,1,0,0,30,580,0.321,0.0,1.54,7.98,420,1,5.64,7.8,4.27,C1,1,0
LNR024374,3,0,2,31,430,0.39,0.0,10.0,3.78,340,0,9.57,9.96,3.95,A2,0,0
LNR024375,3,0,3,24,290,0.532,0.0,6.33,1.57,140,1,5.67,4.08,7.69,A2,0,0
LNR024376,4,0,2,25,250,0.26,0.0,2.98,3.38,150,0,4.66,8.08,3.75,A0,0,1
LNR024377,2,1,0,35,100,0.593,0.0,7.92,6.87,40,1,4.56,8.29,7.2,A1,0,0
LNR024378,2,1,0,17,290,0.137,0.0,5.33,5.12,190,0,4.22,4.38,8.12,A1,0,1
LNR024379,1,1,1,27,600,0.709,0.0,7.56,2.45,410,0,3.85,8.48,4.19,C2,1,0
LNR024380,1,0,0,38,1210,0.353,0.0,9.1,5.41,860,1,5.14,5.51,6.11,C2,1,0
LNR024381,2,1,1,10,490,0.307,2.3,10.0,1.07,260,1,5.29,7.38,7.87,B1,0,1
LNR024382,1,0,2,14,460,0.423,0.0,9.42,6.75,230,0,2.65,3.87,6.03,B2,1,0
LNR024383,1,0,0,36,530,0.396,0.0,6.74,7.97,370,1,4.81,6.79,4.49,B2,1,0
LNR024384,3,1,0,38,340,0.086,0.0,5.81,3.22,220,1,4.07,7.34,6.24,A0,0,0
LNR024385,1,0,0,42,360,0.716,0.9,9.09,5.15,230,0,7.3,7.51,3.94,C1,1,0
LNR024386,3,1,1,35,620,0.507,7.0,5.59,5.63,330,0,7.46,6.44,6.54,C1,1,0
LNR024387,3,1,1,33,550,0.363,0.0,10.0,4.59,430,1,3.5,4.11,6.03,A2,0,1
LNR024388,4,0,1,25,480,0.208,0.0,7.56,7.45,300,1,4.79,5.67,6.52,A2,0,0
LNR024389,3,1,0,49,1430,0.185,1.7,10.0,9.1,510,0,7.12,9.89,1.41,C1,1,0
LNR024390,1,1,0,31,390,0.146,4.5,4.39,6.2,180,0,6.03,4.75,5.0,C2,1,0
LNR024391,1,0,1,12,350,0.64,1.0,5.67,4.47,160,1,6.66,7.32,8.2,B2,1,0
LNR024392,1,0,3,34,50,0.25,0.0,4.5,5.96,20,1,1.18,6.4,5.5,A0,0,0
LNR024393,4,1,1,40,10,0.558,0.0,3.94,6.76,0,1,3.86,6.4,5.84,A0,0,0
LNR024394,1,1,1,8,180,0.092,0.8,2.95,5.62,60,0,5.84,5.32,6.49,A0,0,0
LNR024395,3,0,0,29,720,0.679,0.0,4.69,7.95,270,1,0.99,6.1,8.37,B2,1,0
LNR024396,1,1,1,39,100,0.616,0.0,8.08,6.53,40,1,3.15,4.38,5.84,A2,0,0
LNR024397,3,1,0,40,920,0.548,0.0,3.58,3.58,370,1,6.66,7.29,2.04,B2,1,0
LNR024398,2,0,1,6,240,0.528,0.0,3.02,5.99,180,1,4.85,6.29,7.02,A2,0,1
LNR024399,3,1,0,26,300,0.659,0.0,8.44,7.84,200,1,0.0,4.48,6.9,B1,0,1
LNR024400,4,0,1,27,1030,0.184,0.0,6.8,4.06,500,0,4.86,8.66,5.97,A2,0,1
LNR024401,3,0,2,23,180,0.51,0.0,4.7,8.7,110,1,6.39,6.68,5.53,A1,0,1
LNR024402,1,0,2,33,660,0.357,0.0,4.41,3.93,390,0,6.53,3.04,2.21,B1,0,1
LNR024403,2,0,0,37,980,0.248,3.2,2.21,7.79,670,0,4.92,9.59,6.82,B2,1,0
LNR024404,2,0,1,20,210,0.515,0.0,9.45,3.3,130,1,3.45,4.6,5.28,A2,0,1
LNR024405,2,1,3,10,770,0.218,1.3,5.12,3.07,420,0,3.78,6.21,7.24,B1,0,1
LNR024406,3,0,1,59,80,0.288,0.0,6.12,1.71,60,1,2.49,1.97,1.55,A0,0,1
LNR024407,3,0,1,40,500,0.173,0.0,5.12,7.14,340,1,7.92,8.53,5.66,A0,0,1
LNR024408,2,0,0,29,270,0.376,5.0,9.09,6.87,160,1,5.96,5.51,4.2,B1,0,1
LNR024409,2,0,3,29,710,0.582,2.4,5.49,4.35,430,0,7.72,4.5,5.97,C2,1,0
LNR024410,4,0,0,27,300,0.244,0.0,5.26,2.24,230,0,6.41,5.54,6.08,A0,0,1
LNR024411,1,0,1,42,260,0.224,1.9,7.14,2.61,90,0,6.45,6.95,2.72,A2,0,0
LNR024412,3,0,1,16,320,0.325,0.0,10.0,6.45,230,0,3.33,6.56,9.21,A2,0,1
LNR024413,2,0,1,22,560,0.643,0.0,8.25,6.03,180,0,5.81,3.71,5.83,B2,1,0
LNR024414,4,0,1,40,390,0.284,0.0,4.97,6.78,140,1,5.61,8.02,5.04,A1,0,1
LNR024415,3,1,1,21,340,0.375,0.0,5.4,2.88,210,0,4.9,4.47,4.6,A2,0,1
LNR024416,2,0,2,29,340,0.218,0.0,8.68,4.98,110,0,8.42,8.34,3.5,A1,0,1
LNR024417,1,0,3,20,110,0.87,1.9,10.0,3.39,90,1,2.79,5.45,5.65,A2,0,1
LNR024418,2,0,1,45,260,0.072,0.0,5.2,6.95,80,0,1.7,5.06,4.16,A1,0,1
LNR024419,2,1,0,31,490,0.572,3.1,5.02,4.01,320,0,6.77,7.49,4.71,B2,1,0
LNR024420,4,0,1,35,390,0.283,0.0,5.94,3.32,210,0,7.03,8.65,4.19,A0,0,0
LNR024421,3,0,0,38,790,0.151,0.4,4.27,8.88,500,1,6.87,7.02,5.31,A2,0,1
LNR024422,3,0,2,54,540,0.75,0.0,3.85,6.35,370,1,6.91,7.9,1.69,B2,1,0
LNR024423,1,1,0,10,380,0.559,0.0,8.33,2.72,260,0,8.38,10.0,9.25,B1,0,0
LNR024424,3,0,1,19,470,0.132,1.0,2.52,2.85,260,0,7.33,5.58,5.84,A1,0,1
LNR024425,3,1,1,37,920,0.316,0.0,5.94,7.69,460,1,4.98,2.63,8.64,B2,1,0
LNR024426,1,0,2,14,960,0.449,0.8,2.27,7.16,470,0,5.08,6.01,7.09,C1,1,0
LNR024427,4,0,2,34,230,0.583,0.0,4.42,4.37,150,0,4.65,6.57,2.92,A1,0,1
LNR024428,2,1,2,16,410,0.611,2.1,8.29,5.63,130,1,6.1,3.79,7.46,C1,1,0
LNR024429,1,0,1,44,1120,0.723,0.0,8.81,4.7,620,0,3.15,8.8,1.57,C2,1,0
LNR024430,3,0,4,23,290,0.693,0.5,4.69,6.34,200,0,5.47,6.3,6.31,B1,0,1
LNR024431,1,0,0,44,180,0.747,0.0,7.85,3.12,90,1,6.09,7.21,3.4,A2,0,1
LNR024432,4,0,4,21,350,0.82,0.0,6.69,2.11,180,0,6.84,6.15,7.78,A1,0,1
LNR024433,4,1,1,26,630,0.564,0.0,8.2,9.46,350,0,7.83,4.28,3.32,B1,0,0
LNR024434,1,1,2,29,270,0.374,3.9,4.99,4.95,150,0,6.78,6.91,6.77,A2,0,0
LNR024435,3,1,1,22,600,0.279,0.0,7.49,3.23,390,0,3.28,8.06,6.91,A2,0,1
LNR024436,3,0,1,33,350,0.193,0.0,3.97,2.88,150,0,4.72,5.67,3.92,A2,0,1
LNR024437,3,1,1,26,2050,0.336,0.0,2.41,6.78,930,0,6.37,9.05,6.05,C1,1,0
LNR024438,2,0,2,14,430,0.366,0.2,0.0,4.17,160,1,5.32,7.54,7.64,B1,0,1
LNR024439,4,1,0,32,540,0.543,1.0,4.8,6.29,170,1,0.0,5.43,3.17,A2,0,1
LNR024440,1,1,0,40,650,0.784,2.3,7.9,5.7,480,0,9.21,9.34,7.5,C1,1,0
LNR024441,3,1,1,31,980,0.276,0.0,3.75,9.92,460,0,3.72,4.8,3.83,C1,1,0
LNR024442,1,0,0,41,380,0.678,0.0,9.51,6.33,120,0,6.94,6.92,2.45,C1,1,0
LNR024443,1,1,1,29,470,0.614,7.0,9.47,4.75,340,0,5.42,3.82,6.68,C2,1,0
LNR024444,1,1,1,26,140,0.363,0.0,4.13,8.05,80,0,1.52,2.75,5.19,A2,0,1
LNR024445,1,1,1,32,130,0.369,0.0,2.59,5.39,80,0,3.88,6.79,3.42,A1,0,0
LNR024446,2,0,1,27,80,0.226,0.0,7.18,8.0,60,1,6.94,3.11,7.86,A0,0,1
LNR024447,2,0,0,16,990,0.163,2.1,6.57,5.78,740,0,8.47,5.42,6.25,B2,1,0
LNR024448,1,0,0,24,100,0.464,0.0,6.99,3.21,80,1,1.46,6.74,5.35,A1,0,1
LNR024449,2,0,2,35,680,0.16,8.6,7.53,5.24,330,0,4.29,7.96,6.7,B2,1,0
LNR024450,3,0,1,33,290,0.798,7.6,7.51,0.0,140,0,6.15,3.54,5.6,B1,0,0
LNR024451,3,0,0,22,50,0.509,0.0,4.71,6.39,20,0,6.02,10.0,7.5,A0,0,1
LNR024452,1,1,0,12,210,0.454,2.8,7.16,6.71,150,0,0.14,4.63,4.5,A2,0,1
LNR024453,4,0,1,36,100,0.417,0.0,4.61,4.63,40,0,7.45,6.92,3.98,A0,0,1
LNR024454,3,1,3,50,460,0.035,0.0,6.59,6.18,360,1,4.0,8.07,4.83,A1,0,1
LNR024455,3,1,1,41,150,0.377,0.0,4.89,7.21,100,0,3.16,5.65,5.21,A0,0,1
LNR024456,1,0,0,33,280,0.585,2.6,10.0,7.95,190,1,3.37,8.41,7.24,B2,1,0
LNR024457,1,1,0,23,980,0.653,7.9,6.49,4.72,690,0,6.28,5.77,5.98,C2,1,0
LNR024458,3,0,2,22,1500,0.465,0.0,4.88,8.2,680,0,6.68,6.81,4.94,C2,1,0
LNR024459,4,0,0,19,80,0.736,0.0,5.51,3.16,50,0,9.89,6.63,6.39,A0,0,0
LNR024460,1,0,0,28,910,0.389,0.0,5.29,3.76,350,0,0.01,9.02,6.02,C1,1,0
LNR024461,2,1,1,21,450,0.214,0.0,6.73,6.71,140,0,5.83,10.0,7.47,A2,0,1
LNR024462,1,0,0,6,320,0.732,2.8,5.47,4.54,220,0,6.75,4.59,9.3,C1,1,0
LNR024463,1,0,1,45,490,0.427,0.0,5.75,4.08,320,0,3.83,5.15,3.13,B1,0,0
LNR024464,1,0,0,9,90,0.197,0.0,2.34,1.87,40,0,5.63,8.24,8.23,A0,0,0
LNR024465,4,1,1,32,90,0.697,0.0,6.95,4.06,40,0,1.58,4.83,3.46,A0,0,1
LNR024466,4,0,0,21,640,0.508,0.0,7.62,0.83,480,0,2.13,6.46,4.6,A2,0,0
LNR024467,1,0,1,41,730,0.454,0.0,9.5,2.64,320,1,3.22,4.44,4.53,C1,1,0
LNR024468,1,0,0,24,400,0.239,0.0,5.88,4.85,250,1,2.86,3.8,6.39,A2,0,1
LNR024469,2,0,1,32,360,0.311,0.0,7.26,9.15,170,0,1.88,1.78,4.78,A2,0,0
LNR024470,3,0,0,35,870,0.484,0.0,2.66,5.32,430,1,4.92,7.22,4.16,B2,1,0
LNR024471,4,0,2,14,610,0.323,0.0,2.53,4.2,450,1,5.68,7.02,4.42,A1,0,1
LNR024472,2,0,1,27,70,0.328,2.4,5.26,6.55,30,0,7.22,3.48,4.53,A0,0,1
LNR024473,4,0,2,18,750,0.396,0.0,6.76,4.2,500,0,4.32,7.32,7.82,A1,0,1
LNR024474,1,1,0,6,320,0.399,1.2,4.72,3.77,240,1,5.88,5.3,8.57,B1,0,0
LNR024475,1,0,0,19,460,0.678,0.0,8.33,3.52,240,0,3.16,9.88,7.16,B2,1,0
LNR024476,1,1,0,15,870,0.567,0.0,7.09,6.49,410,0,3.13,3.84,8.31,C2,1,0
LNR024477,4,0,1,35,240,0.032,8.2,3.63,8.44,100,1,4.56,9.04,6.15,A0,0,1
LNR024478,4,1,1,33,410,0.626,0.0,6.26,7.93,180,0,9.66,8.09,2.85,A2,0,0
LNR024479,4,0,1,26,960,0.664,1.9,8.64,5.48,690,0,4.21,3.5,8.03,B2,1,0
LNR024480,2,0,0,13,290,0.655,12.6,5.29,7.57,110,1,3.39,4.56,8.47,C1,1,0
LNR024481,2,0,0,47,820,0.147,14.0,7.77,3.18,300,0,6.25,8.97,5.27,B2,1,0
LNR024482,3,0,1,38,100,0.071,0.0,3.51,6.14,60,0,4.78,5.23,6.11,A0,0,0
LNR024483,4,1,2,44,230,0.644,0.7,5.87,4.06,100,0,8.67,10.0,6.06,A1,0,0
LNR024484,3,0,0,23,1080,0.294,0.6,0.74,1.03,560,0,3.12,0.0,8.35,A2,0,1
LNR024485,2,1,1,13,210,0.301,0.5,8.38,3.6,80,0,9.44,7.04,8.45,A1,0,0
LNR024486,2,1,1,15,300,0.226,6.8,5.59,6.41,120,0,8.77,7.93,6.39,B1,0,1
LNR024487,3,0,0,43,160,0.382,0.0,2.27,3.86,120,0,7.55,6.91,5.11,A1,0,1
LNR024488,2,0,0,19,320,0.397,4.4,8.44,3.82,130,0,5.08,8.75,6.06,B1,0,1
LNR024489,1,1,1,31,240,0.069,0.0,7.58,3.24,170,1,4.69,8.28,8.49,A1,0,0
LNR024490,4,0,0,45,2850,0.368,0.0,2.48,5.66,2220,0,6.81,7.37,3.14,C1,1,0
LNR024491,1,1,1,22,240,0.104,2.4,9.66,3.66,110,0,1.31,7.91,6.84,A1,0,0
LNR024492,3,0,2,18,460,0.283,0.0,8.2,7.62,260,0,4.38,3.55,7.03,A1,0,1
LNR024493,3,0,1,19,140,0.525,0.0,5.36,7.03,90,1,5.28,8.46,7.07,A1,0,0
LNR024494,3,1,2,40,140,0.482,0.0,7.23,7.11,60,1,1.79,5.76,4.76,A2,0,1
LNR024495,1,1,0,37,910,0.213,0.0,9.34,6.13,650,0,4.45,4.22,3.52,C1,1,0
LNR024496,3,1,1,34,490,0.289,0.0,5.47,4.6,290,0,5.54,4.47,6.08,B1,0,0
LNR024497,3,1,0,32,550,0.181,0.0,8.34,6.21,320,0,7.59,10.0,7.18,A2,0,0
LNR024498,1,0,2,29,970,0.378,0.0,6.6,5.73,670,0,7.65,3.34,5.85,C2,1,0
LNR024499,1,1,1,38,1210,0.582,0.0,5.6,7.26,600,0,9.1,4.63,6.1,C2,1,0
LNR024500,3,1,0,54,350,0.308,0.5,3.1,4.07,110,0,6.44,9.85,0.52,A1,0,0
LNR024501,3,0,0,36,320,0.732,0.0,8.01,3.28,100,0,4.61,5.14,7.13,B1,0,0
LNR024502,3,1,0,45,700,0.465,0.8,5.46,5.01,220,0,3.99,4.29,5.19,B2,1,0
LNR024503,3,0,2,58,480,0.53,0.0,6.49,2.54,200,0,4.24,6.94,2.81,A2,0,1
LNR024504,3,0,1,29,330,0.653,0.0,7.89,6.06,110,0,2.19,1.2,6.51,A2,0,0
LNR024505,4,0,0,32,740,0.31,2.6,5.53,7.49,520,0,5.74,8.67,2.87,A2,0,0
LNR024506,1,0,1,15,1560,0.62,0.0,6.42,1.97,590,0,4.21,7.62,7.55,C2,1,0
LNR024507,2,0,1,56,100,0.598,0.0,4.64,4.37,40,0,6.18,5.14,2.46,A1,0,1
LNR024508,3,1,1,40,430,0.195,8.4,6.61,4.33,270,0,4.87,7.12,3.78,B1,0,1
LNR024509,2,1,1,34,330,0.267,0.0,8.07,4.76,160,0,3.3,6.3,3.54,A2,0,1
LNR024510,1,0,1,50,730,0.437,0.0,4.23,8.02,470,0,0.0,2.12,5.9,C1,1,0
LNR024511,1,0,1,30,470,0.162,0.0,5.13,6.46,370,1,5.13,5.0,5.26,B1,0,1
LNR024512,2,0,0,31,570,0.3,0.0,5.37,10.0,200,0,3.31,6.08,3.69,B2,1,0
LNR024513,1,1,0,37,470,0.257,0.0,2.73,1.71,180,1,4.62,3.28,2.79,B2,1,0
LNR024514,1,1,0,38,1550,0.311,0.0,3.61,2.52,1210,0,3.11,3.11,4.3,C1,1,0
LNR024515,2,0,1,26,80,0.569,0.0,6.01,7.91,40,0,4.25,3.74,7.34,A0,0,1
LNR024516,1,0,1,29,400,0.517,5.7,5.14,2.76,270,0,5.06,1.51,6.67,B2,1,0
LNR024517,1,0,0,36,50,0.695,0.0,6.58,5.3,20,0,4.53,6.45,7.29,A1,0,1
